sim_id,capacity_norm,seal_risk_norm,heterogeneity_norm,suitability_score,poro_mean,logk_mean,caprock_margin_peak,rank
187,0.7628558015339336,0.7071784953654943,0.5902610517221739,61.96,0.2951064705848694,1.6871042838337997,0.6860470652003652,186
967,0.6877863114324891,0.5053306620737475,0.706523052222188,61.92,0.2908937335014343,1.6201812767491504,0.6133465659025028,187
593,0.5468193873400028,0.34470527360918835,0.5954792221744412,61.9,0.2829829752445221,1.5059980198882554,0.5554933516725137,188
10,0.7548409401583217,0.8379531479207104,0.3758268159588481,61.89,0.2946566939353943,1.6857713876599336,0.7331487971398253,189
796,0.47727564814057555,0.20966623020978045,0.6256348962470732,61.85,0.279080331325531,1.4467486039315505,0.5068556936915495,190
558,0.42710257344389435,0.26368184756954355,0.42107141695857486,61.78,0.2762647271156311,1.406342145803642,0.5263107568839351,191
649,0.5181837300225915,0.40298528181314347,0.4421768788051515,61.69,0.2813760042190552,1.4844528665515313,0.5764843409064035,192
756,0.6021974485422745,0.518123834606323,0.4794983450222218,61.69,0.2860906720161438,1.5549456838775884,0.6179543440270152,193
393,0.6454050500211895,0.492537489541172,0.6279454696073468,61.62,0.2885153889656067,1.5889611029832547,0.6087387877779904,194
511,0.49898035158751824,0.5223882254505148,0.21785864329936955,61.59,0.2802983522415161,1.4690312923626463,0.6194902700685193,195
74,0.7503884754238179,0.6460555599320779,0.6621729639660378,61.54,0.29440683126449585,1.674532703629577,0.6640321252721392,196
24,0.5445023425360143,0.4314145541077558,0.4708657802362642,61.49,0.2828529477119446,1.50553680946937,0.5867238478497645,197
684,0.5282920570450801,0.42999309049302514,0.43253696432866645,61.49,0.28194326162338257,1.4923425142346802,0.5862118725025964,198
722,0.6340428740914773,0.5849326244986617,0.46794364785053155,61.36,0.28787776827812195,1.5815268083744396,0.6420171853439133,199
668,0.5367668223400719,0.35749844614176385,0.5682250080697797,61.28,0.2824188470840454,1.4950496747016744,0.5601011297970261,200
72,0.6708612099190547,0.5692965247366251,0.5867548158658222,61.24,0.2899439334869385,1.6106168343575231,0.6363854565250648,201
67,0.7261781984299539,0.55792481581878,0.7424375020053322,61.23,0.2930482029914856,1.6516170755410045,0.6322896537477204,202
34,0.4135285039527308,0.10092391664587338,0.6478997361898021,61.17,0.2755029797554016,1.3892103976838912,0.4676894546392128,203
170,0.728552067390263,0.7782516761020246,0.423823217235456,61.02,0.2931814193725586,1.6625270205890832,0.7116458325587673,204
385,0.5170886701129367,0.31769746492930695,0.5885748499796183,60.92,0.28131455183029175,1.478947295379898,0.5457658200763209,205
156,0.6944926240120828,0.6915423956034574,0.4752747116682232,60.78,0.29127007722854614,1.6320043467936953,0.6804153363815166,206
951,0.5840466446663359,0.46979407170548204,0.532272874191757,60.76,0.28507208824157715,1.5360271873566258,0.6005471822233016,207
631,0.7357554585709415,0.6801706866856126,0.5979298726988207,60.69,0.2935856580734253,1.6642160378260584,0.6763195336041723,208
423,0.6103806581193222,0.5948828698017761,0.4143374845414459,60.62,0.2865498960018158,1.5656951213225434,0.6456010127740897,209
579,0.3392433996352633,0.09523806218695097,0.48630032414781726,60.61,0.2713342607021332,1.3256343876130194,0.46564155325054063,210
740,0.68711079435922,0.606254578719621,0.5910840723543235,60.55,0.2908558249473572,1.6226827246400202,0.649696815551434,211
880,0.6955483849725067,0.6744848322266902,0.5102881885772402,60.53,0.2913293242454529,1.633453817262536,0.6742716322155001,212
806,0.7019849155762978,0.8024165575524452,0.33600226449109566,60.48,0.29169052839279175,1.6391012927008841,0.7203494134606242,213
3,0.5842739412916184,0.3873491820511069,0.6656523902806044,60.43,0.2850848436355591,1.533875358689388,0.5708526120875551,214
633,0.6107794893473294,0.4527365083287148,0.6338212813496678,60.43,0.28657227754592896,1.5597085903102652,0.5944034780572851,215
891,0.5726032155037541,0.613361896793274,0.2974073988736547,60.43,0.2844299077987671,1.5336274957659035,0.6522566922872742,216
85,0.508975561364247,0.5337599343683596,0.2582021585880222,60.41,0.2808592617511749,1.4770601541316979,0.6235860728458636,217
362,0.3320150483111542,0.29779697432307833,0.17075804679244827,60.38,0.27092862129211426,1.3224264457562276,0.5385981652159683,218
752,0.5725825038953756,0.46268675363182926,0.5260587669462683,60.33,0.28442874550819397,1.528325855438462,0.5979873054874615,219
430,0.7123964817881234,0.6488984871615392,0.6004104551614182,60.18,0.2922748029232025,1.6421411141335227,0.6650560759664753,220
632,0.5139585619133702,0.513859443762131,0.3076711466236451,60.16,0.28113889694213867,1.4806046183603212,0.616418417985511,221
235,0.5841974676606823,0.5294955435241678,0.4599204887131829,60.15,0.28508055210113525,1.5404422616180256,0.6220501468043595,222
